Havaintopaikka;ELY-keskus;Päivämäärä;LevätilanneNum;LevätilanneTxt;Seuranta;Ylläpito;Lisätiedot;Latitude_DD;Longitude_DD;Vuosi;DayOfYear;Ilma_Lämpötila_7d_C;Sadanta_7d_mm;Tuuli_7d_ms
Pyhäjärvi (04.391.1.001)/Hepokallio;Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-17;3;;-;Tavallisen käyttäjän ylläpitämä;;61.78844722222222;29.96704722222222;2021;168;16.12857142857143;7.3;13.114285714285716
Kukkia (35.781.1.002)/Aaponsaari;Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus;2021-06-19;3;;-;Tavallisen käyttäjän ylläpitämä;;61.35082222222222;24.761105555555556;2021;170;16.442857142857143;7.299999999999999;14.285714285714286
Immalanjärvi (04.192.1.001)/Raution uimaranta;Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;3;;-;Tavallisen käyttäjän ylläpitämä;;61.23588888888889;28.89638888888889;2021;173;21.271428571428572;0.2;13.085714285714285
Immalanjärvi (04.192.1.001)/Valtakunnallinen sinileväseuranta (Raution uimaranta);Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-22;3;;Valtakunnallinen leväseuranta;Asiantuntijan ylläpitämä;;61.2349;28.8965;2021;173;21.32857142857143;0.2;13.085714285714285
Pyhäjärvi (34.031.1.001)/Kunnan ranta;Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-23;3;;-;Tavallisen käyttäjän ylläpitämä;Ranta laajalta alueelta sinilevää peitossa ja runsaasti kuolleita kaloja;61.044013888888884;22.34351388888889;2021;174;21.185714285714287;1.0;13.07142857142857
Pyhäjärvi (34.031.1.001)/Kunnan ranta;Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-23;3;;-;Tavallisen käyttäjän ylläpitämä;;61.044013888888884;22.34351388888889;2021;174;21.185714285714287;1.0;13.07142857142857
Viekijärvi (04.482.1.001)/Viekijärvi, Kylänlahti;Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus;2021-06-23;3;;-;Tavallisen käyttäjän ylläpitämä;;63.366661111111114;29.742936111111113;2021;174;21.47142857142857;10.200000000000001;12.457142857142856
Vardskadsudden - Strömma/Bredvik;Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-24;3;;-;Tavallisen käyttäjän ylläpitämä;;60.04499166666667;22.765916666666666;2021;175;19.8;4.1;13.14285714285714
Bengtsår/Mökkilaituri Båtviken Alenstugan;Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-06-25;3;;-;Tavallisen käyttäjän ylläpitämä;Båtvikenin alueella esiintyy sinilevää. Ensimmäiset havainnot 19.6. Päivittäin lauttoja, etenkin tyynenä päivinä erittäin runsas kukinta.;59.973844444444445;23.19887222222222;2021;176;21.699999999999996;7.1000000000000005;10.714285714285714
Iso- ja Pikku-Nauvon vesialue/Nauvon pappilanlahti;Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-06-28;3;;-;Tavallisen käyttäjän ylläpitämä;"Vesi todella hileistä sinilevästä. Ei ainakaan lemmikkejä enää veteen. Automaattinen sinileväseuranta Framnäsissä tämän sivun kautta (klikkaa sinistä ""Framnäs"" sanaa sinileväteksti kohdassa: https://www.pargas.fi/fi/uimarannat";60.19965277777777;21.904586111111108;2021;179;18.857142857142858;1.3;17.17142857142857
