Havaintopaikka;Koordinaatit;ELY-keskus;Päivämäärä;LevätilanneNum;LevätilanneTxt;Seuranta;Ylläpito;Lisätiedot
"Ormajärvi (35.792.1.001)/Havaintopaikka 2";"61° 5' 24.14"" N, 24° 57' 26.17"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2025-06-28T17:22:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Pielavesi (14.741.1.001)/Lahdenpohja";"63° 14' 34.63"" N, 26° 43' 30.66"" E";"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus";2025-07-02T13:04:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Pielinen (04.411.1.001)/Koli Camping, Isohiekka";"63° 8' 57.99"" N, 29° 50' 39.54"" E";"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus";2025-07-02T18:36:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Viinijärvi (04.352.1.001)/Korkansaarentien venevalkama";"62° 39' 40.71"" N, 29° 16' 30.88"" E";"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus";2025-07-02T20:02:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Yltiä (35.654.1.012)/Kaakkolahti";"62° 14' 7.09"" N, 24° 20' 28.67"" E";"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus";2025-07-02T21:53:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Pyhtään rannikkoalue (91.212)/Mökkiranta";"60° 26' 8.00"" N, 26° 44' 2.18"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2025-07-13T14:00:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Vanajavesi (yhd.)/Hakalanranta";"61° 11' 8.77"" N, 24° 7' 20.42"" E";"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus";2025-07-13T16:41:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kotkan-Haminan sisäsaaristo/Havaintopaikka 2";"60° 27' 38.19"" N, 27° 1' 51.87"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2025-07-14T07:58:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Siltakylänlahti, Koukkusaari/Koukkusaari, Kylänlahti";"60° 25' 57.76"" N, 26° 44' 18.83"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2025-07-14T08:35:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Rauman ja Eurajoen saaristo/Rotarien sinileväseuranta (Verkkoniemennokka)";"61° 3' 37.92"" N, 21° 23' 29.51"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2025-07-14T14:17:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Ähtärinjärvi (35.433.1.001)/Kyntölä";"62° 38' 58.11"" N, 24° 4' 30.52"" E";"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2025-07-14T16:39:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Ähtärinjärvi (35.433.1.001)/Kyntölä";"62° 38' 58.11"" N, 24° 4' 30.52"" E";"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2025-07-15T09:47:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
Loviisa-Porvoo/Äggskär;"60° 12' 33.02"" N, 25° 45' 10.33"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2025-07-16T08:52:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Gullkronan selän ulkosaaristoalue/Rotarien sinileväseuranta (Nötö, Södernäset)";"59° 56' 31.38"" N, 21° 45' 3.77"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2025-07-16T10:09:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";"Havainto tehty aamulla 10:10. Merivesi on muuttunut vuorokaudessa 0 -tasolta 3-tasolle. Itäisen rannan havaintopisteellä runsaasti leväkukintoja. Lämpötila on ulkosaaristossa noussu aamun + 17 C nyt iltapäivällä yli +31 C."
"Örön ja Jurmon välinen ulkosaaristoalue/Valtakunnallinen sinileväseuranta (Trunsö)";"59° 52' 53.99"" N, 21° 46' 24.00"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2025-07-16T12:11:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Särkijärvi (04.376.1.001)/Mustalahti";"62° 19' 35.23"" N, 30° 6' 35.11"" E";"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus";2025-07-16T21:06:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
