Havaintopaikka;Koordinaatit;ELY-keskus;Päivämäärä;LevätilanneNum;LevätilanneTxt;Seuranta;Ylläpito;Lisätiedot
"Kyyvesi (14.932.1.001)/Tolkinniemi";"61° 58' 10.59"" N, 27° 1' 18.75"" E";"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus";2024-06-18T20:14:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Todella paljon sinilevää myös ulompana rannasta."
"Virolahden sisäsaaristo/Paru";"60° 29' 45.08"" N, 27° 32' 37.51"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-06-19T08:46:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Vesi täysin sameaa vihreätä hernerokkaa."
"Päijänne (yhd.)/Heinosniemi";"62° 0' 24.55"" N, 25° 43' 30.87"" E";"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-06-23T10:30:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hangasjärvi (14.184.1.011)/Kohopää";"60° 59' 55.19"" N, 27° 6' 23.83"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-06-26T08:37:32;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Kirkonkylän veneranta";"60° 24' 57.54"" N, 24° 18' 53.67"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-06-30T10:00:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Aikaisessa on kirkonkylän rannassakin levää. Järkyttävää. Yleensä tämä tilanne on vasta heinäkuun puolenvälin tienoilla."
"Littoistenjärvi (82V043.1.001)/Valtakunnallinen sinileväseuranta";"60° 27' 19.74"" N, 22° 22' 37.53"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-07-02T11:58:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Ryöjönpuron valuma-alue (59.347)/Ryönjöpuro";"64° 34' 36.30"" N, 27° 13' 15.32"" E";"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-03T12:58:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Rysätarha";"60° 22' 45.42"" N, 24° 16' 25.25"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-05T17:25:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Kun järvi tyyntyy, niin erittäin runsaasti sinilevää. Järvi on ihan vihreä ja hetken päästä puuroa."
"Littoistenjärvi (82V043.1.001)/Valtakunnallinen sinileväseuranta";"60° 27' 19.74"" N, 22° 22' 37.53"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-07-10T13:42:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Kuusiston salmet ja Piikkiönlahti/Valtakunnallinen sinileväseuranta (Kuusistonsalmi, Hovirinnan uimaranta)";"60° 23' 43.30"" N, 22° 22' 35.21"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-07-10T13:44:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
